cve_id	cvss_vector	description	vendor	product	postcondition
CVE-2025-47159	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H	Protection mechanism failure in Windows Virtualization-Based Security (VBS) Enclave allows an authorized attacker to elevate privileges locally.	microsoft	windows_10_21h2	Root
CVE-2025-47971	CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H	Buffer over-read in Virtual Hard Disk (VHDX) allows an unauthorized attacker to elevate privileges locally.	microsoft	windows_10_21h2	Root
CVE-2025-47972	CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:C/C:H/I:H/A:H	Concurrent execution using shared resource with improper synchronization ('race condition') in Microsoft Input Method Editor (IME) allows an authorized attacker to elevate privileges over a network.	microsoft	windows_10_21h2	Root
CVE-2025-47973	CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H	Buffer over-read in Virtual Hard Disk (VHDX) allows an unauthorized attacker to elevate privileges locally.	microsoft	windows_10_21h2	Root
CVE-2025-47975	CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H	Double free in Windows SSDP Service allows an authorized attacker to elevate privileges locally.	microsoft	windows_10_21h2	User
CVE-2025-47976	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H	Use after free in Windows SSDP Service allows an authorized attacker to elevate privileges locally.	microsoft	windows_10_21h2	Root
CVE-2025-47980	CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N	Exposure of sensitive information to an unauthorized actor in Windows Imaging Component allows an unauthorized attacker to disclose information locally.	microsoft	windows_10_21h2	User
CVE-2025-47981	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H	Heap-based buffer overflow in Windows SPNEGO Extended Negotiation allows an unauthorized attacker to execute code over a network.	microsoft	windows_10_21h2	Root
CVE-2025-47982	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H	Improper input validation in Windows Storage VSP Driver allows an authorized attacker to elevate privileges locally.	microsoft	windows_10_21h2	Root
CVE-2025-47984	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N	Protection mechanism failure in Windows GDI allows an unauthorized attacker to disclose information over a network.	microsoft	windows_10_21h2	User
CVE-2025-47985	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H	Untrusted pointer dereference in Windows Event Tracing allows an authorized attacker to elevate privileges locally.	microsoft	windows_10_21h2	Root
CVE-2025-47986	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H	Use after free in Universal Print Management Service allows an authorized attacker to elevate privileges locally.	microsoft	windows_10_21h2	User
CVE-2025-47987	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H	Heap-based buffer overflow in Windows Cred SSProvider Protocol allows an authorized attacker to elevate privileges locally.	microsoft	windows_10_21h2	User
CVE-2025-47991	CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H	Use after free in Microsoft Input Method Editor (IME) allows an authorized attacker to elevate privileges locally.	microsoft	windows_10_21h2	User
CVE-2025-47996	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H	Integer underflow (wrap or wraparound) in Windows MBT Transport driver allows an authorized attacker to elevate privileges locally.	microsoft	windows_10_21h2	Root
